opcode,mnem,op_enc,ops,prefs,feature_flag,exceptions
50+rd,PUSH,O,r64:mer; RSP:rw,,,SS; GP; PF; AC
6A ib,PUSH,I,imm8:mer; RSP:rw,,,SS; GP; PF; AC
68 iw,PUSH,I,imm16:mer; RSP:rw,pref66:mandatory/1,,SS; GP; PF; AC
68 id,PUSH,I,imm32:mer; RSP:rw,rex_w:optional/0,,SS; GP; PF; AC
9C,PUSHF,NP,RSP:rw; OF:r; SF:r; ZF:r; AF:r; CF:r; PF:r,pref66:mandatory/1,,
9C,PUSHFQ,NP,RSP:rw; OF:r; SF:r; ZF:r; AF:r; CF:r; PF:r,,,
0F EF /r,PXOR,RM,mm:merw; mm/m64:mer,pref67:operand/1,MMX,UD; GP
0F EF /r,PXOR,RM,xmm:merw; xmm/m128:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GP
VEX.NDS.128.66.0F.WIG EF /r,VPXOR,RVM,xmm:mew; xmm:mer; xmm/m128:mer,pref67:operand/1,AVX,UD; GP
VEX.NDS.256.66.0F.WIG EF /r,VPXOR,RVM,ymm:mew; ymm:mer; ymm/m256:mer,pref67:operand/1,AVX2,UD; GP
EVEX.NDS.128.66.0F.W0 EF /r,VPXORD,FV,xmm {k1}{z}:mew; xmm:mer; xmm/m128/m32bcst:mer,,AVX512VL; AVX512F,
EVEX.NDS.256.66.0F.W0 EF /r,VPXORD,FV,ymm {k1}{z}:mew; ymm:mer; ymm/m256/m32bcst:mer,,AVX512VL; AVX512F,
EVEX.NDS.512.66.0F.W0 EF /r,VPXORD,FV,zmm {k1}{z}:mew; zmm:mer; zmm/m512/m32bcst:mer,,AVX512F,
EVEX.NDS.128.66.0F.W1 EF /r,VPXORQ,FV,xmm {k1}{z}:mew; xmm:mer; xmm/m128/m64bcst:mer,,AVX512VL; AVX512F,
EVEX.NDS.256.66.0F.W1 EF /r,VPXORQ,FV,ymm {k1}{z}:mew; ymm:mer; ymm/m256/m64bcst:mer,,AVX512VL; AVX512F,
EVEX.NDS.512.66.0F.W1 EF /r,VPXORQ,FV,zmm {k1}{z}:mew; zmm:mer; zmm/m512/m64bcst:mer,,AVX512F,
D0 /2,RCL,M,r/m8:merw; 1:mr; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
D2 /2,RCL,M,r/m8:merw; CL:mr; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
C0 /2 ib,RCL,MI,r/m8:merw; imm8:mer; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
D1 /2,RCL,M,r/m16:merw; 1:mr; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D3 /2,RCL,M,r/m16:merw; CL:mr; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
C1 /2 ib,RCL,MI,r/m16:merw; imm8:mer; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D1 /2,RCL,M,r/m32:merw; 1:mr; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
D1 /2,RCL,M,r/m64:merw; 1:mr; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D3 /2,RCL,M,r/m32:merw; CL:mr; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
D3 /2,RCL,M,r/m64:merw; CL:mr; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
C1 /2 ib,RCL,MI,r/m32:merw; imm8:mer; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
C1 /2 ib,RCL,MI,r/m64:merw; imm8:mer; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D0 /3,RCR,M,r/m8:merw; 1:mr; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
D2 /3,RCR,M,r/m8:merw; CL:mr; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
C0 /3 ib,RCR,MI,r/m8:merw; imm8:mer; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
D1 /3,RCR,M,r/m16:merw; 1:mr; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D3 /3,RCR,M,r/m16:merw; CL:mr; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
C1 /3 ib,RCR,MI,r/m16:merw; imm8:mer; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D1 /3,RCR,M,r/m32:merw; 1:mr; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
D1 /3,RCR,M,r/m64:merw; 1:mr; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D3 /3,RCR,M,r/m32:merw; CL:mr; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
D3 /3,RCR,M,r/m64:merw; CL:mr; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
C1 /3 ib,RCR,MI,r/m32:merw; imm8:mer; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
C1 /3 ib,RCR,MI,r/m64:merw; imm8:mer; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D0 /0,ROL,M,r/m8:merw; 1:mr; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GP; PF; AC
D2 /0,ROL,M,r/m8:merw; CL:mr; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GP; PF; AC
C0 /0 ib,ROL,MI,r/m8:merw; imm8:mer; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GP; PF; AC
D1 /0,ROL,M,r/m16:merw; 1:mr; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
D3 /0,ROL,M,r/m16:merw; CL:mr; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
C1 /0 ib,ROL,MI,r/m16:merw; imm8:mer; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
D1 /0,ROL,M,r/m32:merw; 1:mr; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GP; PF; AC
D1 /0,ROL,M,r/m64:merw; 1:mr; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
D3 /0,ROL,M,r/m32:merw; CL:mr; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GP; PF; AC
D3 /0,ROL,M,r/m64:merw; CL:mr; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
C1 /0 ib,ROL,MI,r/m32:merw; imm8:mer; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GP; PF; AC
C1 /0 ib,ROL,MI,r/m64:merw; imm8:mer; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
D0 /1,ROR,M,r/m8:merw; 1:mr; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GP; PF; AC
D2 /1,ROR,M,r/m8:merw; CL:mr; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GP; PF; AC
C0 /1 ib,ROR,MI,r/m8:merw; imm8:mer; OF:uw; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GP; PF; AC
D1 /1,ROR,M,r/m16:merw; 1:mr; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
D3 /1,ROR,M,r/m16:merw; CL:mr; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
C1 /1 ib,ROR,MI,r/m16:merw; imm8:mer; OF:uw; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
D1 /1,ROR,M,r/m32:merw; 1:mr; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GP; PF; AC
D1 /1,ROR,M,r/m64:merw; 1:mr; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
D3 /1,ROR,M,r/m32:merw; CL:mr; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GP; PF; AC
D3 /1,ROR,M,r/m64:merw; CL:mr; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
C1 /1 ib,ROR,MI,r/m32:merw; imm8:mer; OF:uw; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GP; PF; AC
C1 /1 ib,ROR,MI,r/m64:merw; imm8:mer; OF:uw; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GP; PF; AC
0F 53 /r,RCPPS,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,SSE,UD; GP; AC; PFS
VEX.128.0F.WIG 53 /r,VRCPPS,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
VEX.256.0F.WIG 53 /r,VRCPPS,RM,ymm:mew; ymm/m256:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
0F 53 /r,RCPSS,RM,xmm[0..31]:mew; xmm/m32:mer,pref67:operand/1; prefF3:mandatory/1,SSE,UD; GP
VEX.NDS.LIG.F3.0F.WIG 53 /r,VRCPSS,RVM,xmm:mew; xmm:mer; xmm/m32:mer,pref67:operand/1,AVX,UD; GP
0F C7 /6,RDRAND,M,r16:mew; CF:w; OF:0; SF:0; ZF:0; AF:0; PF:0,pref66:mandatory/1; pref67:operand/1,RDRAND,UDCPUID
0F C7 /6,RDRAND,M,r32:mew; CF:w; OF:0; SF:0; ZF:0; AF:0; PF:0,rex_w:optional/0; pref67:operand/1,RDRAND,UDCPUID
0F C7 /6,RDRAND,M,r64:mew; CF:w; OF:0; SF:0; ZF:0; AF:0; PF:0,rex_w:mandatory/1; pref67:operand/1,RDRAND,UDCPUID
0F C7 /7,RDSEED,M,r16:mew; CF:w; OF:w; SF:w; ZF:w; AF:w; PF:w,pref66:mandatory/1; pref67:operand/1,RDSEED,
0F C7 /7,RDSEED,M,r32:mew; CF:w; OF:w; SF:w; ZF:w; AF:w; PF:w,rex_w:optional/0; pref67:operand/1,RDSEED,
0F C7 /7,RDSEED,M,r64:mew; CF:w; OF:w; SF:w; ZF:w; AF:w; PF:w,rex_w:mandatory/1; pref67:operand/1,RDSEED,
C3,RET,NP,RSP:rw; RIP:w,,,SS; GP; PF; AC; NPX; SSXXX; SS; GP; PF; AC
C2 iw,RET,I,imm16:mer; RSP:rw; RIP:w,,,SS; GP; PF; AC; NPX; SSXXX; SS; GP; PF; AC
VEX.LZ.F2.0F3A.W0 F0 /r ib,RORX,RMI,r32:mew; r/m32:mer; imm8:mer,pref67:operand/1,BMI2,UDX; SSX; GP; PF; AC
VEX.LZ.F2.0F3A.W1 F0 /r ib,RORX,RMI,r64:mew; r/m64:mer; imm8:mer,pref67:operand/1,BMI2,UDX; SSX; GP; PF; AC
0F 3A 09 /r ib,ROUNDPD,RMI,xmm:mew; xmm/m128:mer; imm8:mer; PE:w; IE:w,pref67:operand/1; pref66:mandatory/1,SSE4_1,UD; GPS; AC; PFS; XFS
VEX.128.66.0F3A.WIG 09 /r ib,VROUNDPD,RMI,xmm:mew; xmm/m128:mer; imm8:mer; PE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFS
VEX.256.66.0F3A.WIG 09 /r ib,VROUNDPD,RMI,ymm:mew; ymm/m256:mer; imm8:mer; PE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFS
0F 3A 08 /r ib,ROUNDPS,RMI,xmm:mew; xmm/m128:mer; imm8:mer; PE:w; IE:w,pref67:operand/1; pref66:mandatory/1,SSE4_1,UD; GPS; AC; PFS; XFS
VEX.128.66.0F3A.WIG 08 /r ib,VROUNDPS,RMI,xmm:mew; xmm/m128:mer; imm8:mer; PE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFS
VEX.256.66.0F3A.WIG 08 /r ib,VROUNDPS,RMI,ymm:mew; ymm/m256:mer; imm8:mer; PE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFS
0F 3A 0B /r ib,ROUNDSD,RMI,xmm[0..63]:mew; xmm/m64:mer; imm8:mer; PE:w; IE:w,pref67:operand/1; pref66:mandatory/1,SSE4_1,UD; GP; ACS; XFS
VEX.NDS.LIG.66.0F3A.WIG 0B /r ib,VROUNDSD,RVMI,xmm:mew; xmm:mer; xmm/m64:mer; imm8:mer; PE:w; IE:w,pref67:operand/1,AVX,UD; GP; ACS; XFS
0F 3A 0A /r ib,ROUNDSS,RMI,xmm[0..31]:mew; xmm/m32:mer; imm8:mer; PE:w; IE:w,pref67:operand/1; pref66:mandatory/1,SSE4_1,UD; GP; ACS; XFS
VEX.NDS.LIG.66.0F3A.WIG 0A /r ib,VROUNDSS,RVMI,xmm:mew; xmm:mer; xmm/m32:mer; imm8:mer; PE:w; IE:w,pref67:operand/1,AVX,UD; GP; ACS; XFS
0F 52 /r,RSQRTPS,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,SSE,UD; GP; AC; PFS
VEX.128.0F.WIG 52 /r,VRSQRTPS,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
VEX.256.0F.WIG 52 /r,VRSQRTPS,RM,ymm:mew; ymm/m256:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
0F 52 /r,RSQRTSS,RM,xmm[0..31]:mew; xmm/m32:mer,pref67:operand/1; prefF3:mandatory/1,SSE,UD; GP
VEX.NDS.LIG.F3.0F.WIG 52 /r,VRSQRTSS,RVM,xmm:mew; xmm:mer; xmm/m32:mer,pref67:operand/1,AVX,UD; GP
9E,SAHF,NP,AH:r; SF:w; ZF:w; AF:w; PF:w; CF:w,,LAHF_LM,
D0 /4,SAL/SHL,M,r/m8:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:operand/any; pref67:operand/1,,
D2 /4,SAL/SHL,M,r/m8:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:operand/any; pref67:operand/1,,
C0 /4 ib,SAL/SHL,MI,r/m8:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref67:operand/1,,
D1 /4,SAL/SHL,M,r/m16:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,
D3 /4,SAL/SHL,M,r/m16:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,
C1 /4 ib,SAL/SHL,MI,r/m16:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,
D1 /4,SAL/SHL,M,r/m32:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,
D1 /4,SAL/SHL,M,r/m64:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,
D3 /4,SAL/SHL,M,r/m32:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,
D3 /4,SAL/SHL,M,r/m64:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,
C1 /4 ib,SAL/SHL,MI,r/m32:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,
C1 /4 ib,SAL/SHL,MI,r/m64:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,
D0 /7,SAR,M,r/m8:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
D2 /7,SAR,M,r/m8:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
C0 /7 ib,SAR,MI,r/m8:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
D1 /7,SAR,M,r/m16:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D3 /7,SAR,M,r/m16:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
C1 /7 ib,SAR,MI,r/m16:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D1 /7,SAR,M,r/m32:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
D1 /7,SAR,M,r/m64:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D3 /7,SAR,M,r/m32:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
D3 /7,SAR,M,r/m64:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
C1 /7 ib,SAR,MI,r/m32:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
C1 /7 ib,SAR,MI,r/m64:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D1 /4,SAL/SHL,M,r/m16:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,
D3 /4,SAL/SHL,M,r/m16:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,
D1 /4,SAL/SHL,M,r/m32:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,
D1 /4,SAL/SHL,M,r/m64:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,
D3 /4,SAL/SHL,M,r/m32:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,
D3 /4,SAL/SHL,M,r/m64:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,
D0 /5,SHR,M,r/m8:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
D2 /5,SHR,M,r/m8:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
C0 /5 ib,SHR,MI,r/m8:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
D1 /5,SHR,M,r/m16:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D3 /5,SHR,M,r/m16:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
C1 /5 ib,SHR,MI,r/m16:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D1 /5,SHR,M,r/m32:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
D1 /5,SHR,M,r/m64:merw; 1:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
D3 /5,SHR,M,r/m32:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
D3 /5,SHR,M,r/m64:merw; CL:mr; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
C1 /5 ib,SHR,MI,r/m32:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
C1 /5 ib,SHR,MI,r/m64:merw; imm8:mer; CF:rw; OF:w; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
VEX.NDS.LZ.F3.0F38.W0 F7 /r,SARX,RMV,r32:mew; r/m32:mer; r32:mer,pref67:operand/1,BMI2,UDX; SSX; GP; PF; AC
VEX.NDS.LZ.66.0F38.W0 F7 /r,SHLX,RMV,r32:mew; r/m32:mer; r32:mer,pref67:operand/1,BMI2,UDX; SSX; GP; PF; AC
VEX.NDS.LZ.F2.0F38.W0 F7 /r,SHRX,RMV,r32:mew; r/m32:mer; r32:mer,pref67:operand/1,BMI2,UDX; SSX; GP; PF; AC
VEX.NDS.LZ.F3.0F38.W1 F7 /r,SARX,RMV,r64:mew; r/m64:mer; r64:mer,pref67:operand/1,BMI2,UDX; SSX; GP; PF; AC
VEX.NDS.LZ.66.0F38.W1 F7 /r,SHLX,RMV,r64:mew; r/m64:mer; r64:mer,pref67:operand/1,BMI2,UDX; SSX; GP; PF; AC
VEX.NDS.LZ.F2.0F38.W1 F7 /r,SHRX,RMV,r64:mew; r/m64:mer; r64:mer,pref67:operand/1,BMI2,UDX; SSX; GP; PF; AC
1C ib,SBB,I,AL:mrw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,,,SSX; GPX; PF; AC
1D iw,SBB,I,AX:mrw; imm16:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,pref66:mandatory/1,,SSX; GPX; PF; AC
1D id,SBB,I,EAX:mrw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,rex_w:optional/0,,SSX; GPX; PF; AC
1D id,SBB,I,RAX:mrw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,rex_w:mandatory/1,,SSX; GPX; PF; AC
80 /3 ib,SBB,MI,r/m8:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
81 /3 iw,SBB,MI,r/m16:merw; imm16:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
81 /3 id,SBB,MI,r/m32:merw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
81 /3 id,SBB,MI,r/m64:merw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
83 /3 ib,SBB,MI,r/m16:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
83 /3 ib,SBB,MI,r/m32:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
83 /3 ib,SBB,MI,r/m64:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
18 /r,SBB,MR,r/m8:merw; r8:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
19 /r,SBB,MR,r/m16:merw; r16:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
19 /r,SBB,MR,r/m32:merw; r32:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
19 /r,SBB,MR,r/m64:merw; r64:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,lock:optional/1; rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
1A /r,SBB,RM,r8:merw; r/m8:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
1B /r,SBB,RM,r16:merw; r/m16:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
1B /r,SBB,RM,r32:merw; r/m32:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
1B /r,SBB,RM,r64:merw; r/m64:mer; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:rw,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
AE,SCASB,NP,SIL:rw; DIL:rw; [DIL]:r; AL:r; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:w,,,GP; PF; AC
AF,SCASW,NP,SI:rw; DI:rw; [DI]:r; AX:r; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:w,pref66:mandatory/1,,GP; PF; AC
AF,SCASD,NP,ESI:rw; EDI:rw; [EDI]:r; EAX:r; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:w,rex_w:optional/0,,GP; PF; AC
AF,SCASQ,NP,RSI:rw; RDI:rw; [RDI]:r; RAX:r; OF:w; SF:w; ZF:w; AF:w; PF:w; CF:w,rex_w:mandatory/1,,GP; PF; AC
0F 97 /?,SETA/SETNBE,M,r/m8:mew; CF:r; ZF:r,pref67:operand/1,,
0F 93 /?,SETAE/SETNB/SETNC,M,r/m8:mew; CF:r,pref67:operand/1,,
0F 92 /?,SETB/SETC/SETNAE,M,r/m8:mew; CF:r,pref67:operand/1,,
0F 96 /?,SETBE/SETNA,M,r/m8:mew; CF:r; ZF:r,pref67:operand/1,,
0F 94 /?,SETE/SETZ,M,r/m8:mew; ZF:r,pref67:operand/1,,
