opcode,mnem,op_enc,ops,prefs,feature_flag,exceptions
EVEX.NDS.512.66.0F.W1 58 /r,VADDPD,FV,zmm {k1}{z}:mew; zmm:mer; zmm/m512/m64bcst{er}:mer; PE:w; UE:w; OE:w; DE:w; IE:w,,AVX512F,UD; GPS; AC; PFS; XFSS
0F 58 /r,ADDPS,RM,xmm:merw; xmm/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,SSE,UD; GPS; AC; PFS; XFSS
VEX.NDS.128.0F.WIG 58 /r,VADDPS,RVM,xmm:mew; xmm:mer; xmm/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
VEX.NDS.256.0F.WIG 58 /r,VADDPS,RVM,ymm:mew; ymm:mer; ymm/m256:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
EVEX.NDS.128.0F.W0 58 /r,VADDPS,FV,xmm {k1}{z}:mew; xmm:mer; xmm/m128/m32bcst:mer; PE:w; UE:w; OE:w; DE:w; IE:w,,AVX512VL; AVX512F,UD; GPS; AC; PFS; XFSS
EVEX.NDS.256.0F.W0 58 /r,VADDPS,FV,ymm {k1}{z}:mew; ymm:mer; ymm/m256/m32bcst:mer; PE:w; UE:w; OE:w; DE:w; IE:w,,AVX512VL; AVX512F,UD; GPS; AC; PFS; XFSS
EVEX.NDS.512.0F.W0 58 /r,VADDPS,FV,zmm {k1}{z}:mew; zmm:mer; zmm/m512/m32bcst {er}:mer; PE:w; UE:w; OE:w; DE:w; IE:w,,AVX512F,UD; GPS; AC; PFS; XFSS
0F 58 /r,ADDSD,RM,xmm[0..63]:merw; xmm/m64:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1; prefF2:mandatory/1,SSE2,UD; GP; ACS; XFS
VEX.NDS.128.F2.0F.WIG 58 /r,VADDSD,RVM,xmm:mew; xmm:mer; xmm/m64:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GP; ACS; XFS
EVEX.NDS.LIG.F2.0F.W1 58 /r,VADDSD,T1S,xmm {k1}{z}:mew; xmm:mer; xmm/m64{er}:mer; PE:w; UE:w; OE:w; DE:w; IE:w,,AVX512F,UD; GP; ACS; XFS
0F 58 /r,ADDSS,RM,xmm[0..31]:merw; xmm/m32:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1; prefF3:mandatory/1,SSE,UD; GP; ACS; XFS
VEX.NDS.128.F3.0F.WIG 58 /r,VADDSS,RVM,xmm:mew; xmm:mer; xmm/m32:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GP; ACS; XFS
EVEX.NDS.LIG.F3.0F.W0 58 /r,VADDSS,T1S,xmm{k1}{z}:mew; xmm:mer; xmm/m32{er}:mer; PE:w; UE:w; OE:w; DE:w; IE:w,,AVX512F,UD; GP; ACS; XFS
0F D0 /r,ADDSUBPD,RM,xmm:merw; xmm/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1; pref66:mandatory/1,SSE3,UD; GPS; AC; PFS; XFSS
VEX.NDS.128.66.0F.WIG D0 /r,VADDSUBPD,RVM,xmm:mew; xmm:mer; xmm/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
VEX.NDS.256.66.0F.WIG D0 /r,VADDSUBPD,RVM,ymm:mew; ymm:mer; ymm/m256:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
0F D0 /r,ADDSUBPS,RM,xmm:merw; xmm/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1; prefF2:mandatory/1,SSE3,UD; GPS; AC; PFS; XFSS
VEX.NDS.128.F2.0F.WIG D0 /r,VADDSUBPS,RVM,xmm:mew; xmm:mer; xmm/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
VEX.NDS.256.F2.0F.WIG D0 /r,VADDSUBPS,RVM,ymm:mew; ymm:mer; ymm/m256:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
0F 38 F6 /r,ADOX,RM,r32:merw; r/m32:mer; OF:rw,pref67:operand/1; prefF3:mandatory/1,ADX,
0F 38 F6 /r,ADOX,RM,r64:merw; r/m64:mer; OF:rw,rex_w:mandatory/1; pref67:operand/1; prefF3:mandatory/1,ADX,
0F 38 DE /r,AESDEC,RM,xmm:merw; xmm/m128:mer,pref67:operand/1; pref66:mandatory/1,AES,UD; GPS; AC; PFS
VEX.NDS.128.66.0F38.WIG DE /r,VAESDEC,RVM,xmm:mew; xmm:mer; xmm/m128:mer,pref67:operand/1,AES; AVX,UD; GPS; AC; PFS
0F 38 DF /r,AESDECLAST,RM,xmm:merw; xmm/m128:mer,pref67:operand/1; pref66:mandatory/1,AES,UD; GPS; AC; PFS
